date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2008-11-26,sh.000300,1832.114,1865.652,1815.015,1843.495,4556563500,34732301415.0,3,0.01154,1,0.501613,,,,,0.0
2008-11-27,sh.000300,1961.891,1969.024,1870.045,1870.473,8800832200,71753358088.0,3,0.02229,1,1.463417,,,,,0.0
2008-11-28,sh.000300,1851.103,1866.256,1815.447,1829.924,5159066000,40648514423.0,3,0.013035,1,-2.1678509999999998,,,,,0.0
2008-12-01,sh.000300,1823.769,1864.3,1799.839,1864.205,4838633300,38237160240.0,3,0.012206999999999999,1,1.873357,,,,,0.0
2008-12-02,sh.000300,1821.543,1891.133,1814.903,1868.631,6135023500,48151924129.0,3,0.015477000000000001,1,0.23742199999999997,,,,,0.0
2008-12-03,sh.000300,1884.601,1952.668,1884.601,1952.668,8501914400,67393273254.0,3,0.021419,1,4.497249,,,,,0.0
2008-12-04,sh.000300,1980.445,2046.473,1978.141,1982.928,11918344100,98580218133.0,3,0.030026999999999998,1,1.549675,,,,,0.0
2008-12-05,sh.000300,1969.741,2014.197,1965.089,2013.175,7436632600,59950691704.0,3,0.018711000000000002,1,1.525374,,,,,0.0
2008-12-08,sh.000300,2040.474,2095.465,2033.978,2095.036,10760713100,89176050245.0,3,0.027074,1,4.066255,,,,,0.0
2008-12-09,sh.000300,2104.124,2107.599,2038.072,2040.847,9250981400,77546690089.0,3,0.023241,1,-2.586535,,,,,0.0
2008-12-10,sh.000300,2028.514,2096.393,2014.283,2096.393,8327106200,70751388012.0,3,0.020919999999999998,1,2.721714,,,,,0.0
2008-12-11,sh.000300,2087.43,2107.292,2043.62,2046.337,7355623600,63777696206.0,3,0.018445,1,-2.387722,,,,,0.0
2008-12-12,sh.000300,2027.069,2038.185,1936.28,1960.38,6738726600,54866552688.0,3,0.016880000000000003,1,-4.200531,,,,,0.0
2008-12-15,sh.000300,1991.551,2006.225,1941.054,1975.034,5045109600,40756443942.0,3,0.012638,1,0.7475109999999999,,,,,0.0
2008-12-16,sh.000300,1956.995,1994.959,1919.869,1994.45,4792487800,38552247941.0,3,0.012001999999999999,1,0.983066,,,,,0.0
2008-12-17,sh.000300,2002.029,2030.388,1995.65,2001.42,5868515000,49120177368.0,3,0.014696,1,0.34947399999999995,,,,,0.0
2008-12-18,sh.000300,2001.048,2045.945,1982.428,2045.102,5842922400,48455152683.0,3,0.014632,1,2.1825509999999997,,,,,0.0
2008-12-19,sh.000300,2037.369,2075.384,2033.112,2052.114,6331122700,53410396118.0,3,0.015847,1,0.342866,,,,,0.0
2008-12-22,sh.000300,2050.77,2055.366,1993.326,2017.549,5294946400,43843460414.0,3,0.013226,1,-1.684364,,,,,0.0
2008-12-23,sh.000300,2019.231,2019.231,1918.432,1918.955,6359046400,50825766644.0,3,0.015884,1,-4.886819999999999,,,,,0.0
2008-12-24,sh.000300,1893.225,1912.775,1872.647,1887.075,4420183100,34210526666.0,3,0.011041,1,-1.6613209999999998,,,,,0.0
2008-12-25,sh.000300,1891.526,1902.714,1848.708,1870.765,3991683400,30805996716.0,3,0.009931,1,-0.864297,,,,,0.0
2008-12-26,sh.000300,1868.344,1881.077,1850.502,1862.096,3456088800,28536313731.0,3,0.008581,1,-0.463397,,,,,0.0
2008-12-29,sh.000300,1852.413,1861.302,1816.059,1854.757,3598687300,29329563341.0,3,0.008839,1,-0.394125,,,,,0.0
2008-12-30,sh.000300,1852.949,1867.408,1824.528,1833.435,3758462700,29628506787.0,3,0.009179999999999999,1,-1.1495790000000001,,,,,0.0
2008-12-31,sh.000300,1835.105,1844.416,1813.726,1817.722,3563135500,27291914244.0,3,0.008711,1,-0.8570260000000001,,,,,0.0
2009-01-05,sh.000300,1848.326,1882.959,1837.839,1882.959,4818702000,39217076790.0,3,0.011597,1,3.588939,,,,,0.0
2009-01-06,sh.000300,1880.672,1948.489,1873.011,1942.795,7097409700,59262170581.0,3,0.017038,1,3.177768,,,,,0.0
2009-01-07,sh.000300,1942.671,1959.246,1930.868,1931.178,5970216700,50143418262.0,3,0.014332,1,-0.597956,,,,,0.0
2009-01-08,sh.000300,1894.664,1902.796,1873.648,1887.991,5344649000,47210802398.0,3,0.012830000000000001,1,-2.236304,,,,,0.0
2009-01-09,sh.000300,1886.488,1923.423,1886.488,1918.365,4740721600,41511211439.0,3,0.011378000000000001,1,1.608801,,,,,0.0
2009-01-12,sh.000300,1911.736,1947.083,1905.617,1920.687,5423415600,46981492708.0,3,0.013004,1,0.12104200000000001,,,,,0.0
2009-01-13,sh.000300,1892.655,1908.196,1874.974,1876.185,4981813700,40201464676.0,3,0.011945,1,-2.316981,,,,,0.0
2009-01-14,sh.000300,1873.626,1955.244,1873.626,1955.244,5928323100,52658994886.0,3,0.014214,1,4.213814,,,,,0.0
2009-01-15,sh.000300,1935.386,1977.191,1930.295,1954.874,7894364800,67144772684.0,3,0.018917,1,-0.018923,,,,,0.0
